Term,Acad Group,Subject,Catalog Nbr,Course Title,Component,Units
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),201,Basic Drawing,LAB,4
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),202,Graphic Commun,LAB,4
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),209,Special Topics Arch,LEC,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),211,Digital Drawing,LEC,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),212,Understand Arch,LEC,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),218,Visual Studies,LAB,5
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),312,Arch Design I,LAB,6
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),313,History Arch I,LEC,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),314,Structures I,LEC,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),316,Design Fund I,LAB,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),317,Construction,LAB,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),357,"Arch, Sustainability",LEC,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),400,Tutorl Stds in Arch,IND,1.00-3.00
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),409,Special Topics Arch,LEC,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),412,Arch Design I,LAB,6
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),413,History,LEC,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),417,Construction,LAB,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),421,Geometric Modeling,LEC,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),423,Int U P&Env,LEC,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),432,Arch Des III,LAB,6
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),466,Dimensions,LEC,1
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),505,Spec Topics Env Tech,LEC,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),506,Spec Topics Des Fund,SEM,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),509,Experimental Course,SEM,1.00-3.00
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),514,Frame Structures,LEC,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),515,Sustainable Systems,LEC,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),516,Arch Representation,LEC,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),523,Hist Urban Form,LEC,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),527,Integrative Systems,LEC,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),534,Reinfor Concr Struc,LEC,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),537,Fabrication,SEM,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),543,20th Century Arch,LEC,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),551,Spatial Data Form,SEM,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),552,Arch Design V,LAB,6
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),555,Bld Sy&Ener Consvtn,LEC,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),571,Adv Digital Fab,LAB,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),575,Building Ecology,LEC,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),583,Professnl Pract,LEC,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),591,Design Computing,SEM,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),593,Tutrl Std Arch Hist,IND,1.00-3.00
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),600,Tutor Studies Arch,IND,1.00-3.00
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),603,Sem Arch History,SEM,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),605,Env Des Simulation,LEC,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),609,Disability Studies,SEM,1.00-3.00
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),660,Thesis Res&Dev Sem,SEM,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),672,Arch Design VII,LAB,6
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),690,Arc Curr Pract Exper,IND,1
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),701,Theories in Dig Tech,SEM,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),702,Material Engagemt DT,SEM,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),703,Virtual Engagemt DT,SEM,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),706,Theories Matrl Systm,SEM,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),707,Physical Pursuits MS,SEM,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),708,Technolog Process MS,SEM,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),710,Tutorial Studies,IND,1.00-3.00
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),719,MS Supervised Resear,IND,1.00-3.00
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),726,Theories in Des Hlth,SEM,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),727,Hlth Ind Infrastruct,SEM,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),728,Hlth Civ Infrastruct,SEM,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),801,Collo Ethics Doc Res,SEM,1
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),810,Tutorial Studies,IND,1.00-6.00
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),812,Theory Arch Res,SEM,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),813,Res&Meth Arch,SEM,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),819,Supervised Research,IND,1.00-6.00
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),823,Sem Arch Hist&Thry,SEM,3
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),839,Research Practicum,IND,1.00-4.00
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),990,Diss-Precand,IND,1.00-8.00
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),993,Teach Meth Gsi,SEM,1
Fall 2017,Architecture & Urban Planning,Architecture (ARCH),995,Diss-Cand,IND,8
Fall 2017,Architecture & Urban Planning,Urban Design (UD),713,Hist of Urban Form,LEC,3
Fall 2017,Architecture & Urban Planning,Urban Design (UD),716,"UrbnEcon,Fin,CtyMk I",SEM,1.5
Fall 2017,Architecture & Urban Planning,Urban Design (UD),719,The City&Urban Desn,LEC,3
Fall 2017,Architecture & Urban Planning,Urban Design (UD),722,Urban Des Studio II,LAB,6
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),357,"Arch, Sustainability",LEC,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),423,Int U P&Env,LEC,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),427,Sustainable Food Sys,SEM,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),480,Directed Study,IND,1.00-4.00
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),500,Plng Thry Policy,LEC,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),501,Plng Thry Design,LEC,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),504,Intro to Stats UP,LEC,2.00-3.00
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),508,Spat Thnkg & Env Sys,SEM,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),509,Public Economics,LEC,2.00-3.00
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),510,Fiscal Planning&Mgt,LEC,2.00-3.00
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),520,Intro to GIS,LEC,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),527,Sustainable Food Sys,SEM,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),529,Hist Urban Form,LEC,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),533,Thinking About Crime,SEM,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),535,Intro to Urbn Inform,SEM,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),544,Behavior&Environmt,LEC,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),551,Phys Plan Workshop,LAB,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),552,Healthy Cities,SEM,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),561,Transport & PubPol,SEM,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),571,Comp Urban Policy,LEC,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),581,Hsg Policy&Econ,LEC,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),582,Neighborhood Plan,LEC,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),583,"Race,Diff&Social Jus",SEM,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),585,Econ Dev Plng Methds,LEC,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),586,Conc&Tech Comm,LEC,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),592,Real Est Ess,LEC,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),600,Expanded Horizons,LAB,1
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),601,Thesis,IND,3.00-6.00
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),602,Prof Project,IND,3.00-6.00
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),603,Capstone Studio,LAB,6
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),610,URP Grad Exper Cse,SEM,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),612,URP Directed Study,IND,1.00-4.00
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),613,URP Directed Study,IND,1.00-4.00
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),801,Research Design,SEM,3
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),990,PhD Diss-Precand,IND,1.00-8.00
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),993,Teach Meth Gsi,SEM,1
Fall 2017,Architecture & Urban Planning,Urban and Regional Planning (URP),995,PhD Diss-Cand,IND,8
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),210,Clinical Dent Hyg,LEC,4
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),220,Survey Dental Hyg,LEC,1
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),242,Oral Anatomy,LEC,2
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),252,Behavioral Sci I,LEC,2
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),262,Anatomy & Physiology,LEC,5
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),272,Dental Pract Emerg,LEC,2
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),291,Oral Histol & Embry,LEC,2
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),310,Radiograph Interpr,LEC,1
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),312,Clinical Dent Hyg,LEC,3
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),344,Community Dentistry,LEC,2
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),382,Nutrition,LEC,3
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),401,Emrg Educat Ace Dent,SEM,1.00-3.00
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),414,Clinical Dent Hyg,LEC,4
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),416,Intraprof Education,LEC,1
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),422,Pain Control,LEC,2
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),425,Periodontics III,LEC,1
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),429,Dental Pharmacology,LEC,2
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),434,Dent Hyg Field Exp,LEC,2
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),444,Comm Prac:Hd Start,LEC,1
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),445,Research II,LEC,2.00-4.00
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),446,Scientific Writing,LEC,2
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),450,Practicum,LEC,2
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),466,Select Teach Exper,LEC,1.00-4.00
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),475,Mentored Prof Exp,LEC,3.00-4.00
Fall 2017,Dental Hygiene,Dental Hygiene (DENTHYG),480,Independent Study,REC,1.00-4.00
Fall 2017,Dental Hygiene,Dental Hygiene Degree Completion E-Learning (HYGDCE),481,Leadrship&Prof Dev,LEC,3
